BESTV~4K频道,#genre#
金色学堂 8M,https://live.metshop.top/bestv.php?id=jingsepd8m/8000000
魅力足球 8M,https://live.metshop.top/bestv.php?id=mlyyhd8m/8000000

代理BESTV~代理BESTV~上海,#genre#
上海第一财经 8M,https://live.metshop.top/bestv.php?id=dycjhd8m/8000000
上海都市 8M,https://live.metshop.top/bestv.php?id=dshd8m/8000000
上海纪实 8M,https://live.metshop.top/bestv.php?id=jspdhd/4000000
上海教育 8M,https://live.metshop.top/bestv.php?id=setvhd/8000000

Aishang~其他,#genre#
测试频道,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240282_1/encoder/0/playlist.m3u8?CONTENTID=00000110240282_1
IPTV5+ 2M1080,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240281_1/encoder/0/playlist.m3u8?CONTENTID=00000110240281_1
CETV1 8M1080,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240302_1/encoder/0/playlist.m3u8?CONTENTID=00000110240302_1
CETV2,http://106.39.160.148/live.aishang.ctlcdn.com/00000110245251_1/encoder/0/playlist.m3u8?CONTENTID=00000110245251_1
CETV4,http://106.39.160.148/live.aishang.ctlcdn.com/00000110245252_1/encoder/0/playlist.m3u8?CONTENTID=00000110245252_1
CHC动作电影 8M1080,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240324_1/encoder/0/playlist.m3u8?CONTENTID=00000110240324_1
CHC家庭影院 8M1080,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240323_1/encoder/0/playlist.m3u8?CONTENTID=00000110240323_1
CHC高清电影 8M1080,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240325_1/encoder/0/playlist.m3u8?CONTENTID=00000110240325_1
CETV1 576,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240243_1/encoder/0/playlist.m3u8?CONTENTID=00000110240243_1
IPTV3+ 576,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240093_1/encoder/0/playlist.m3u8?CONTENTID=00000110240093_1
IPTV5+ 576,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240094_1/encoder/0/playlist.m3u8?CONTENTID=00000110240094_1
IPTV6+ 576,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240007_1/encoder/0/playlist.m3u8?CONTENTID=00000110240007_1
IPTV8+ 576,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240125_1/encoder/0/playlist.m3u8?CONTENTID=00000110240125_1
IPTV少儿动画 576,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240092_1/encoder/0/playlist.m3u8?CONTENTID=00000110240092_1
IPTV收视指南 576,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240225_1/encoder/0/playlist.m3u8?CONTENTID=00000110240225_1
IPTV法治 576,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240096_1/encoder/0/playlist.m3u8?CONTENTID=00000110240096_1
IPTV热播剧场 576,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240089_1/encoder/0/playlist.m3u8?CONTENTID=00000110240089_1
IPTV相声小品 576,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240006_1/encoder/0/playlist.m3u8?CONTENTID=00000110240006_1
IPTV经典电影 576,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240090_1/encoder/0/playlist.m3u8?CONTENTID=00000110240090_1
IPTV谍战剧场 576,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240003_1/encoder/0/playlist.m3u8?CONTENTID=00000110240003_1
IPTV野外 576,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240095_1/encoder/0/playlist.m3u8?CONTENTID=00000110240095_1
IPTV魅力时尚 576,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240091_1/encoder/0/playlist.m3u8?CONTENTID=00000110240091_1
NNM新动漫 576,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240321_1/encoder/0/playlist.m3u8?CONTENTID=00000110240321_1
动作影院 576,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240277_1/encoder/0/playlist.m3u8?CONTENTID=00000110240277_1
喜剧影院 576,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240276_1/encoder/0/playlist.m3u8?CONTENTID=00000110240276_1
家庭影院 576,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240278_1/encoder/0/playlist.m3u8?CONTENTID=00000110240278_1
武侠剧场 576,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240308_1/encoder/0/playlist.m3u8?CONTENTID=00000110240308_1
军事 576,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240311_1/encoder/0/playlist.m3u8?CONTENTID=00000110240311_1
动画 576,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240335_1/encoder/0/playlist.m3u8?CONTENTID=00000110240335_1
国学 576,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240332_1/encoder/0/playlist.m3u8?CONTENTID=00000110240332_1
戏曲 576,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240333_1/encoder/0/playlist.m3u8?CONTENTID=00000110240333_1
早教 576,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240334_1/encoder/0/playlist.m3u8?CONTENTID=00000110240334_1
星影 576,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240279_1/encoder/0/playlist.m3u8?CONTENTID=00000110240279_1
武术 576,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240312_1/encoder/0/playlist.m3u8?CONTENTID=00000110240312_1
精选 576,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240275_1/encoder/0/playlist.m3u8?CONTENTID=00000110240275_1
美妆 576,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240310_1/encoder/0/playlist.m3u8?CONTENTID=00000110240310_1
足球 576,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240309_1/encoder/0/playlist.m3u8?CONTENTID=00000110240309_1
轮播1,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240336_1/encoder/0/playlist.m3u8?CONTENTID=00000110240336_1
轮播2,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240337_1/encoder/0/playlist.m3u8?CONTENTID=00000110240337_1
轮播3,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240340_1/encoder/0/playlist.m3u8?CONTENTID=00000110240340_1
轮播4,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240341_1/encoder/0/playlist.m3u8?CONTENTID=00000110240341_1
轮播5,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240342_1/encoder/0/playlist.m3u8?CONTENTID=00000110240342_1
轮播6,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240345_1/encoder/0/playlist.m3u8?CONTENTID=00000110240345_1
轮播7,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240347_1/encoder/0/playlist.m3u8?CONTENTID=00000110240347_1
轮播8,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240348_1/encoder/0/playlist.m3u8?CONTENTID=00000110240348_1
轮播9,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240343_1/encoder/0/playlist.m3u8?CONTENTID=00000110240343_1
台球,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240344_1/encoder/0/playlist.m3u8?CONTENTID=00000110240344_1
